vector,batch,iteration,discovered_cumulative,discovered_iteration,finished_iteration,finished_total,time_taken
0,0,0,38.4934,38.4934,0,0,4
0,0,1,80.5556,80.113,43,43,16
0,0,2,83.5122,82.1092,79,122,23
0,0,3,84.049,81.8456,45,167,24
0,0,4,84.1808,74.9153,10,177,23
0,0,5,84.1902,46.9492,1,178,19
0,0,6,84.1902,21.0829,0,178,12
0,0,7,84.1902,6.63842,0,178,6
0,0,8,84.1902,1.3371,0,178,4
0,0,9,84.1902,0.338983,0,178,3
0,0,10,84.1902,0.103578,0,178,3
0,0,11,84.1902,0.0094162,0,178,3
0,0,12,84.1902,0.0,0,0,3
1,0,0,35.7062,35.7062,1,1,4
1,0,1,82.2881,81.9021,41,42,16
1,0,2,84.2185,82.4576,76,118,24
1,0,3,84.7928,81.8644,38,156,23
1,0,4,84.9153,77.7684,4,160,23
1,0,5,84.9435,45.678,1,161,20
1,0,6,84.9435,17.4482,0,161,11
1,0,7,84.9435,5.3484,0,161,6
1,0,8,84.9435,1.3371,0,161,4
1,0,9,84.9435,0.39548,0,161,3
1,0,10,84.9435,0.235405,0,161,3
1,0,11,84.9435,0.0659134,0,161,3
1,0,12,84.9435,0.0188324,0,161,3
1,0,13,84.9435,0.0,0,0,3
2,0,0,46.5254,46.5254,3,3,4
2,0,1,84.0301,83.3616,45,48,19
2,0,2,85.5179,83.7571,111,159,24
2,0,3,85.7533,84.3315,39,198,24
2,0,4,85.7815,78.1827,3,201,24
2,0,5,85.791,47.6836,0,201,21
2,0,6,85.791,19.5574,1,202,12
2,0,7,85.791,6.55367,0,202,7
2,0,8,85.791,1.77966,0,202,4
2,0,9,85.791,0.348399,0,202,3
2,0,10,85.791,0.160075,0,202,3
2,0,11,85.791,0.0188324,0,202,3
2,0,12,85.791,0.0,0,0,3
3,0,0,42.4953,42.4953,0,0,4
3,0,1,81.8738,81.2429,45,45,17
3,0,2,85.0,83.5876,96,141,23
3,0,3,85.1789,82.4953,40,181,23
3,0,4,85.1789,78.2863,4,185,23
3,0,5,85.1789,48.0885,6,191,21
3,0,6,85.1789,20.6686,0,191,13
3,0,7,85.1789,6.21469,0,191,7
3,0,8,85.1789,1.35593,0,191,4
3,0,9,85.1789,0.517891,0,191,3
3,0,10,85.1789,0.178908,0,191,3
3,0,11,85.1789,0.0659134,0,191,3
3,0,12,85.1789,0.0188324,0,191,3
3,0,13,85.1789,0.0,0,0,3
4,0,0,40.0377,40.0377,1,1,4
4,0,1,81.3277,80.8004,43,44,17
4,0,2,84.2467,83.2392,128,172,23
4,0,3,85.6403,84.162,41,213,24
4,0,4,85.7062,76.8644,3,216,24
4,0,5,85.7156,46.8362,2,218,21
4,0,6,85.7156,19.2279,0,218,13
4,0,7,85.7156,6.30885,0,218,7
4,0,8,85.7156,1.54426,0,218,4
4,0,9,85.7156,0.282486,0,218,3
4,0,10,85.7156,0.094162,0,218,3
4,0,11,85.7156,0.0376648,0,218,3
4,0,12,85.7156,0.0188324,0,218,3
4,0,13,85.7156,0.0,0,0,3
5,0,0,38.4275,38.4275,0,0,4
5,0,1,82.7119,82.1563,38,38,17
5,0,2,84.5951,82.8531,95,133,24
